# json-pointer acceptance vectors, from RFC 6901 §3.
#
# The official suite's optional/format/json-pointer.json carries 34 string
# cases, including RFC 6901 §5's own examples and a thorough set of escape
# rejections. What it leaves open is narrow. The escape-then-literal-digit forms
# "/~01" and "/~00" are absent, so is the bare "//" (the suite carries "/" and
# the interior empty segment of "/foo//bar", but not the two together), so is a
# percent-encoded solidus, which is an ordinary member-name character rather
# than an escape, and so is an escape standing where the leading solidus
# belongs. The remaining rows restate an assertion the suite already makes, so
# this file reads as a whole boundary set for the validator's one rule past the
# leading solidus, that a '~' must be followed by '0' or '1'.
#
# Row format: see loadVectorFile in vectors_test.go.
#
""	true	the empty pointer names the whole document
"/"	true	one empty member name
"//"	true	two empty member names
"/foo"	true	one member name
"/a~0b"	true	~0 escapes a tilde
"/a~1b"	true	~1 escapes a solidus
"/~01"	true	~0 then a literal '1', which spells the member name ~1
"/~00"	true	~0 then a literal '0'
"/a%2Fb"	true	%2F is an ordinary member-name character, not an escape
"a"	false	a non-empty pointer must begin with a solidus
"~0"	false	an escape does not stand in for the leading solidus
"/~"	false	a trailing tilde escapes nothing
"/~2"	false	~2 names no escape
"/a~"	false	a tilde at the end of a member name escapes nothing
